j,base,n,k_human,sil_human,k_gmm,sil_gmm,k_dbscan,sil_dbscan,k_H_s0,sil_H_s0,ari_H_s0,k_H_s1,sil_H_s1,ari_H_s1,k_H_s2,sil_H_s2,ari_H_s2,k_R_gmm,sil_R_gmm,ari_R_gmm,k_R_dbscan,sil_R_dbscan,ari_R_dbscan,k_R_shuffle,sil_R_shuffle,ari_R_shuffle
14104,e8770f4c-e648-4512-9529-b68de18f7703,30,3,0.5129790484929964,2,0.467277586086515,9,0.6895941852145598,3.0,0.4903603743383569,0.9175316365704536,4.0,0.35201154622400155,0.4740024183796856,4.0,0.2722541713473774,0.3797218191824686,7.0,0.18483806749086643,0.6211301433133627,4.0,0.3697013276527659,0.7784111582777441,2.0,0.22858172993063533,0.2825229137524271
14105,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,35,3,0.43349460816719054,1,,3,0.37352842568677297,3.0,0.37940621225896537,0.5455755233345291,3.0,0.37759882516711096,0.4343110672911018,3.0,0.37759882516711096,0.4343110672911018,1.0,,0.0,4.0,0.15631795781227012,0.5109674561214319,2.0,0.22407879161932293,-0.027679953343352545
14123,f54baffc-bc26-4c4d-b940-824d08daf230,15,3,0.6443316798728668,8,0.3224844024675161,3,0.6443316798728668,3.0,0.6443316798728668,1.0,3.0,0.6443316798728668,1.0,3.0,0.6443316798728668,1.0,8.0,0.2149217442279081,0.3657331136738057,3.0,0.13416379325191558,0.10506174986954255,2.0,0.22074786696154916,0.30616740088105726
14131,37ce66b3-c54a-46ec-981d-96c33e8fba81,15,2,0.3406864296248966,7,0.42048053002816743,2,0.3468107680518694,3.0,0.2851887420664756,0.3023255813953489,3.0,0.34076348780852034,0.3953185955786736,3.0,0.365031638833176,0.533678756476684,9.0,0.06761125746329429,0.1935483870967742,3.0,0.11889943569469709,-0.009975062344139616,2.0,0.2760108259485679,0.15816326530612243
14141,e8770f4c-e648-4512-9529-b68de18f7703,30,4,0.506147321123074,2,0.467277586086515,9,0.6895941852145598,3.0,0.4903603743383569,0.7470418689320388,4.0,0.35201154622400155,0.5498405772780668,4.0,0.2722541713473774,0.4348463069438302,7.0,0.18483806749086643,0.43337069461694583,4.0,0.3697013276527659,0.7600787918581746,2.0,0.22858172993063533,0.16976121818144102
14142,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,20,3,0.34828363654719463,8,0.41181654415281255,1,,3.0,0.3713704362495656,0.34426229508196715,3.0,0.36352501628078376,0.39172749391727496,3.0,0.26836609415328255,0.3405275779376498,11.0,0.17916747784287576,0.18566775244299674,3.0,0.3583148883053003,0.41309255079006774,2.0,0.1956163296582105,0.13043478260869568
14145,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,25,4,0.4225404628693636,8,0.42427543967368275,4,0.4647149523205244,3.0,0.40391342609640746,0.5407481629926519,3.0,0.36864766465669846,0.23911283794722357,3.0,0.38376706610772693,0.29659053293611387,3.0,-0.06270855451296133,0.04484099748341343,2.0,0.24023671052075696,0.013942395890662292,2.0,0.34244585199062655,0.19395785732419396
14146,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,35,3,0.4285676650807537,1,,3,0.37352842568677297,3.0,0.3547984686812627,0.28688167356722594,3.0,0.30994562536402154,0.3828056927098461,3.0,0.29266491059864924,0.3007806410610003,1.0,,0.0,5.0,0.21030648119267278,0.4443757305149628,2.0,0.27471504535506747,0.15158716686470886
14152,6b397277-e2cf-4165-9f1a-32aeef65ebbc,10,2,0.577077725279484,8,0.36641621587983275,3,0.9210809893518893,3.0,0.44195700734112914,0.020887728459530023,2.0,0.577077725279484,1.0,3.0,0.3604458639935722,0.5018450184501845,6.0,0.3939519001186307,0.12903225806451613,3.0,0.2952953683987201,-0.0819234194122885,2.0,0.06758191120174724,0.048338368580060416
14156,8845809a-0ba9-4c73-8f4e-d60d62ca8418,30,4,0.40541074917012454,1,,2,0.12888205544791959,3.0,0.4161729243783084,0.5579268292682927,3.0,0.30687042275473697,0.4147982062780269,3.0,0.39922115927478985,0.5845272206303725,7.0,0.10824478406775702,0.33209037069532793,4.0,0.3296748063163466,0.4947325769854133,2.0,0.1811449749448174,0.44873792458709877
