trial,agent,k,sil
195,gmm,8,0.36641621587983275
195,dbscan,4,0.3793660171080533
196,human,5,0.0840919533745539
196,gmm,1,
196,dbscan,9,0.4302236704918843
197,human,7,0.3061821874739806
197,gmm,8,0.2541787464769895
197,dbscan,3,0.5983035144857154
198,human,4,0.3199498600200756
198,gmm,1,
198,dbscan,5,0.25001774478351807
199,human,6,0.04635624950936502
199,gmm,7,0.35998962890167857
199,dbscan,2,0.14134003761741115
200,human,3,0.04344686105621716
200,gmm,8,0.41181654415281255
200,dbscan,1,
201,human,6,-0.03660561163903448
201,gmm,1,
201,dbscan,4,0.2494233727840936
202,human,4,0.2450032642134606
202,gmm,8,0.21240622087334698
202,dbscan,1,
203,human,4,0.11446713573553102
203,gmm,1,
203,dbscan,12,0.5132316011450816
204,human,3,0.3436853994239446
204,gmm,1,
204,dbscan,2,0.12888205544791959
205,human,6,0.04277254567962605
205,gmm,1,
205,dbscan,7,0.25614991394562686
206,human,5,0.08767242256681157
206,gmm,1,
206,dbscan,1,
207,human,4,0.23911915468890782
