j,base,sid,rt,n,ari_H,ari_H0,ari_H1,ari_H2,ari_Rgmm,ari_Rdbscan,ari_Rshuffle,ari_gmm_ref,ari_dbscan_ref,single_within,consensus,sil_human,sil_gmm,sil_dbscan,k_human,k_gmm,k_dbscan
360,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp1/clustering_data_157_1779023262276.json,lasso,15,0.2779264041737794,0.14335664335664336,0.3087971274685817,0.38162544169611307,0.2738589211618257,0.0396341463414634,0.10852713178294576,0.3661971830985915,-0.07899807321772635,0.19858619604043834,0.30652680652680653,0.2178174656021082,0.42048053002816743,0.3468107680518694,3.0,7.0,2.0
365,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1/clustering_data_157_1779023262276.json,lasso,25,0.32666666666666666,0.24,0.52,0.22,0.26666666666666666,0.12666666666666668,0.84,0.23333333333333334,0.6843501326259946,0.4842418205958879,0.6866666666666666,0.33023325040895474,0.42427543967368275,0.4647149523205244,2.0,8.0,4.0
371,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1/clustering_data_157_1779023262276.json,lasso,30,0.4004754658410646,0.45149297385833326,0.4304183669577819,0.3195150567070786,0.34842417387582914,0.508707594919059,0.28294473184942515,0.0,0.1421361474004491,0.4622160445718682,0.6604401473548706,0.25774601869371866,nan,0.12888205544791959,6.0,1.0,2.0
385,e8770f4c-e648-4512-9529-b68de18f7703,exp1/clustering_data_157_1779023262276.json,lasso,30,0.5717527228921125,0.7673085740486015,0.5319401970778117,0.4160093975499245,0.45070682805137213,0.7463220675944334,0.1523104670688476,0.491195312751505,0.39125431530494825,0.5914602205680256,0.9756670582312469,0.42072233968895734,0.467277586086515,0.6895941852145598,5.0,2.0,9.0
389,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1/clustering_data_157_1779023262276.json,lasso,35,0.364355464004347,0.4046857036323525,0.3441903441903442,0.3441903441903442,0.0,0.37440697525323763,-0.009831653530332562,0.0,0.7747747747747747,0.4315542302991965,0.46318063409365273,0.24276282162113527,nan,0.37352842568677297,6.0,1.0,3.0
409,f54baffc-bc26-4c4d-b940-824d08daf230,exp1/clustering_data_157_1779023262276.json,lasso,15,1.0,1.0,1.0,1.0,0.3657331136738057,0.10506174986954255,0.30616740088105726,0.3657331136738057,1.0,0.7707597158815002,1.0,0.6443316798728668,0.3224844024675161,0.6443316798728668,3.0,8.0,3.0
414,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp1/clustering_data_157_1779023262276.json,lasso,15,0.48319804274533995,0.5104895104895105,0.3925792938360263,0.5465253239104829,0.12863070539419086,0.2530487804878049,0.2248062015503876,0.4131455399061033,0.325626204238921,0.40686181969506363,1.0,0.41350819060448846,0.42048053002816743,0.3468107680518694,3.0,7.0,2.0
420,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1/clustering_data_157_1779023262276.json,lasso,30,0.4300508468632662,0.43515360796792285,0.46591896701568514,0.38907996560619085,0.42137156370085727,0.42560096727492563,0.10914779100760519,0.0,0.07998585103795902,0.3893156185380834,0.6569135363345344,0.3124885845053324,nan,0.12888205544791959,7.0,1.0,2.0
422,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1/clustering_data_157_1779023262276.json,lasso,35,0.31189814883945993,0.12696998318868472,0.3106979030144168,0.49802656031527837,0.0,0.10982951871915836,0.013970193150646166,0.0,0.4262295081967213,0.2599705853357949,0.3283239849014005,0.16017276642055966,nan,0.37352842568677297,5.0,1.0,3.0
423,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1/clustering_data_157_1779023262276.json,lasso,25,0.253999065912453,0.45858148348673533,0.11510402593893546,0.18831168831168832,-0.014225500526870367,0.00670794633642944,0.44208289054197664,0.22283356258596973,0.39152480985150306,0.3142700398403057,0.4261409667836889,0.27610404517508047,0.42427543967368275,0.4647149523205244,2.0,8.0,4.0
428,6b397277-e2cf-4165-9f1a-32aeef65ebbc,exp1/clustering_data_157_1779023262276.json,lasso,10,0.45623793847201727,1.0,0.020887728459530023,0.34782608695652173,0.5116279069767442,0.6762589928057554,0.051724137931034454,0.22680412371134023,1.0,0.32868784850591165,0.460431654676259,0.44195700734112914,0.36641621587983275,0.9210809893518893,3.0,8.0,3.0
433,e8770f4c-e648-4512-9529-b68de18f7703,exp1/clustering_data_157_1779023262276.json,lasso,30,0.5772429177179786,0.7470418689320388,0.5498405772780668,0.4348463069438302,0.43337069461694583,0.7600787918581746,0.16976121818144102,0.5008097296253794,0.39125431530494825,0.5827303860093225,1.0,0.506147321123074,0.467277586086515,0.6895941852145598,4.0,2.0,9.0
440,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp1/clustering_data_157_1779023262276.json,lasso,20,0.158896599767587,0.3068141697069554,0.17798341545487317,-0.00810778585906761,0.04695555245924481,0.4961374380260579,-0.0007681334357510577,0.27648578811369506,0.0,0.2447366563827005,0.21752152751778356,0.1262104469982293,0.41181654415281255,nan,5.0,8.0,1.0
449,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp1/clustering_data_159632_1779005635568.json,lasso,20,0.37029405971868606,0.316467448067773,0.47228330054391854,0.3221314305443665,0.057656540607563554,0.1301362023577887,0.014500836586726119,0.1334894613583138,0.0,0.32767007760120154,0.37212321491797473,0.17311588205680103,0.41181654415281255,nan,3.0,8.0,1.0
450,6b397277-e2cf-4165-9f1a-32aeef65ebbc,exp1/clustering_data_159632_1779005635568.json,lasso,10,0.3892035888264478,0.3697478991596639,0.39893143365983974,0.39893143365983974,0.10215482841181164,1.0,0.09569377990430619,0.05003909304143862,0.0,0.45941284714715835,0.39893143365983974,0.577077725279484,0.36641621587983275,0.9210809893518893,2.0,8.0,3.0
452,f54baffc-bc26-4c4d-b940-824d08daf230,exp1/clustering_data_159632_1779005635568.json,lasso,15,0.47096260938743045,0.47096260938743045,0.47096260938743045,0.47096260938743045,0.3137254901960784,0.0835850956696878,0.16249304396215916,0.4193061840120664,0.47096260938743045,0.42330756066546854,0.47096260938743045,0.15656372615863784,0.3224844024675161,0.6443316798728668,8.0,8.0,3.0
470,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp1/clustering_data_159632_1779005635568.json,lasso,15,0.11543979159361782,0.05182567726737341,0.1708847944928123,0.12360890302066774,0.14265129682997119,0.08419993290841996,0.37823834196891193,0.39222042139384117,-0.027786548784338512,0.2665558109801157,0.3404004711425206,0.2460831143962461,0.42048053002816743,0.3468107680518694,3.0,7.0,2.0
481,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1/clustering_data_159632_1779005635568.json,lasso,30,0.3336225219809649,0.31616611919286713,0.32346796657381616,0.3612334801762115,0.24701497251879465,0.35657129000969934,0.18997803117480905,0.0,-0.0016317650258362022,0.2801429761319512,0.4037513526511964,0.217716407813045,nan,0.12888205544791959,3.0,1.0,2.0
492,e8770f4c-e648-4512-9529-b68de18f7703,exp1/clustering_data_159632_1779005635568.json,lasso,30,0.3265023157576442,0.31360386536515295,0.428396329545831,0.23750675236194863,0.2377705108315941,0.3668399452804378,-0.012725568068094372,0.33624380112745306,0.09580537964762681,0.22003866642914552,0.333417852693779,0.08812273519575607,0.467277586086515,0.6895941852145598,3.0,2.0,9.0
496,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1/clustering_data_159632_1779005635568.json,lasso,25,0.036525825573267424,0.06899538106235567,0.04618473895582328,-0.005602643298376678,0.1971383147853736,0.015719112678125466,0.02854877081681201,0.1499599037690457,-0.09045908958555757,0.02528052786967509,-0.0024344837462408953,0.035202986643441916,0.42427543967368275,0.4647149523205244,4.0,8.0,4.0
