condition,person_hash,n_mid,observed_k,predicted_k,n_oos_predictions
exp4,person_026,22.5,3.2272727272727275,4.2879125,20
exp4,person_026,32.5,2.6363636363636362,4.4667375,20
exp4,person_026,40.0,2.625,4.707725,20
exp4,person_027,12.5,3.210526315789474,3.8615375,20
exp4,person_027,22.5,3.3333333333333335,4.241525,20
exp4,person_027,32.5,3.5,4.421675,20
exp4,person_027,40.0,3.818181818181819,4.6583375,20
exp4,person_028,12.5,2.1,3.863825,20
exp4,person_028,22.5,2.3846153846153846,4.2799375,20
exp4,person_028,32.5,2.8125,4.4492125,20
exp4,person_028,40.0,3.0,4.6970875,20
exp4,person_029,12.5,4.266666666666667,3.787925,20
exp4,person_029,22.5,5.833333333333333,4.1333625,20
exp4,person_029,32.5,7.3125,4.3207,20
exp4,person_029,40.0,9.142857142857142,4.590325,20
exp4,person_030,12.5,2.2777777777777777,3.8801125,20
exp4,person_030,22.5,2.764705882352941,4.280425,20
exp4,person_030,32.5,2.5714285714285716,4.4651375,20
exp4,person_030,40.0,2.7142857142857144,4.703525,20
exp4,person_031,12.5,3.4375,3.875925,20
exp4,person_031,22.5,3.625,4.2847875,20
exp4,person_031,32.5,3.7368421052631584,4.456125,20
exp4,person_031,40.0,3.6,4.6901625000000005,20
exp4,person_032,12.5,2.142857142857143,3.8753,20
exp4,person_032,22.5,2.6666666666666665,4.3202375,20
exp4,person_032,32.5,2.7857142857142856,4.481075,20
exp4,person_032,40.0,2.4285714285714284,4.7292749999999995,20
exp4,person_035,12.5,3.6923076923076925,3.8877375,20
exp4,person_035,22.5,3.0555555555555554,4.242275,20
exp4,person_035,32.5,3.125,4.4141625,20
exp4,person_035,40.0,2.7777777777777777,4.6507375,20
exp4,person_036,12.5,3.526315789473684,3.8901000000000003,20
exp4,person_036,22.5,3.9,4.275525,20
exp4,person_036,32.5,4.238095238095238,4.4441875,20
exp4,person_036,40.0,4.166666666666667,4.6729,20
exp4,person_037,12.5,2.3125,3.8193125,20
exp4,person_037,22.5,2.533333333333333,4.2574625,20
exp4,person_037,32.5,2.8421052631578947,4.4368125,20
exp4,person_037,40.0,3.1666666666666665,4.6729875,20
exp4,person_038,12.5,3.1176470588235294,3.857475,20
exp4,person_038,22.5,3.6,4.254975,20
exp4,person_038,32.5,3.875,4.435287499999999,20
exp4,person_038,40.0,3.75,4.6820125,20
exp4,person_040,12.5,3.5294117647058827,3.879925,20
exp4,person_040,22.5,3.85,4.3065625,20
exp4,person_040,32.5,4.533333333333333,4.455087499999999,20
exp4,person_040,40.0,4.25,4.7034,20
exp4,person_041,12.5,2.125,3.842225,20
exp4,person_041,22.5,2.230769230769231,4.234875000000001,20
exp4,person_041,32.5,2.0588235294117645,4.442712500000001,20
exp4,person_041,40.0,2.4,4.69275,20
exp4,person_042,12.5,2.875,3.8667124999999998,20
exp4,person_042,22.5,3.5,4.2753625,20
exp4,person_042,32.5,3.4,4.4527375,20
exp4,person_042,40.0,2.909090909090909,4.7108625,20
exp4,person_045,12.5,3.9411764705882355,3.8191,20
exp4,person_045,22.5,4.142857142857143,4.250425,20
exp4,person_045,32.5,4.5,4.4342875,20
exp4,person_045,40.0,4.222222222222222,4.6764,20
exp4,person_046,12.5,2.0,3.903875,20
exp4,person_046,22.5,2.0,4.30575,20
exp4,person_046,32.5,2.0,4.461925,20
exp4,person_046,40.0,2.0,4.7025625,20
exp4,person_047,12.5,2.0,3.905425,20
exp4,person_047,22.5,2.0,4.312525,20
exp4,person_047,32.5,2.0588235294117645,4.494975,20
exp4,person_047,40.0,2.0,4.754275,20
exp4,person_048,12.5,3.88235294117647,3.8400999999999996,20
exp4,person_048,22.5,4.75,4.206625,20
exp4,person_048,32.5,4.9,4.382462500000001,20
exp4,person_048,40.0,6.142857142857143,4.638575,20
exp4,person_049,12.5,3.6470588235294117,3.8717875,20
exp4,person_049,22.5,4.571428571428571,4.2291125,20
exp4,person_049,32.5,4.533333333333333,4.42,20
exp4,person_049,40.0,4.8,4.67575,20
exp4,person_052,12.5,3.8666666666666663,3.8802250000000003,20
exp4,person_052,22.5,4.117647058823529,4.279787499999999,20
exp4,person_052,32.5,4.3125,4.4367375000000004,20
exp4,person_052,40.0,4.25,4.677525,20
exp4,person_053,12.5,2.0,3.862875,20
exp4,person_053,22.5,2.0,4.284174999999999,20
exp4,person_053,32.5,2.0588235294117645,4.4699125,20
exp4,person_053,40.0,2.0,4.7157875,20
exp4,person_057,12.5,3.6153846153846154,3.7284625,20
exp4,person_057,22.5,3.7,4.025775,20
exp4,person_057,32.5,4.176470588235294,4.2575,20
exp4,person_057,40.0,3.8333333333333335,4.5226750000000004,20
exp4,person_062,12.5,4.947368421052632,3.7579875,20
exp4,person_062,22.5,6.222222222222222,4.1276874999999995,20
exp4,person_062,32.5,7.15,4.3305375,20
exp4,person_062,40.0,6.625,4.5736375,20
exp4,person_063,12.5,2.888888888888889,3.8726624999999997,20
exp4,person_063,22.5,3.3888888888888884,4.2620125,20
exp4,person_063,32.5,3.5,4.4476125,20
exp4,person_063,40.0,3.6666666666666665,4.685375,20
exp4,person_065,12.5,2.85,3.9141874999999997,20
exp4,person_065,22.5,3.3846153846153846,4.3144125,20
